词根词缀,含义,示例
dactyl,n.强弱格，长短格； 手指【词根】手指,pterodactyl(n. [古生] 翼手龙)
dai,词根：日，天,daily（adj. 日常的；每日的）
dain,词根：有价值的,disdain(vt. 鄙弃)
dam,"/ dAm/n.水坝，水堤；障碍物。词根：统治,家,屋,驯服",adamant（adj.  坚硬无比的; 固执的; 坚定不移的）
dama,词根：conpuer（征服）,adamant (adj. 固执的，坚强的；坚定不移的（a不+dama+ant——不可征服的）)
damn,"vi. 谴责【词根】损害,诅咒",goddamn(adj. 该死的；讨厌的；受诅咒的
dan,n. 段【词根】低地,dank(adj. 潮湿的；阴湿的；透水的)
dang,词根：悬挂;危险,dangle（vi. 摇晃地悬挂着）
dat,【词根】给,data(n. 数据（datum的复数）；资料)
de,"【化】 非对映体过量【前缀】去,反,解,往底下",detach(vt. 分离；派遣；使超然(（de分开+tach→把钉子上的分开→拆开）)
deb,/ deb/ n. 初上舞台的人【词根】负债,debt(n.债，债务，欠债)
dec,"【词根】十,适当的",decimal(adj. 小数的；十进位的)
deca,【前缀】十,decade(n. 十年，十年期；十)
decem,【前缀】十,December（n. 十二月（古罗马时为十月））
deci,【计】 十分之一【前缀】十,decimeter(n. [计量] 分米；公寸)
decim,词根：手指；十,decimal（adj. 小数的；十进位的）
dei,【词根】神,divinity(n. 神；神性；神学)
delect,词根：delight（愉快）,delectable(adj. 美味的；令人愉快的)
delir,词根：mad  (疯）,delirious(adj. 发狂的；神志昏迷的)
delt,词根：三角,delta（n. （河流的）三角洲）
dem,【词根】民众,democracy(n. 民主，民主主义；民主政治)
demi,adj. 小的，一半的【前缀】半,demigod(n. 受崇拜的人，英雄人物；半神半人)
demn,【词根】损害,condemn(vt.谴责，指责；判刑（com共同+demn→共同伤害→谴责）)
demo,n. 演示；样本唱片；民主党员【词根】人民，人们,democracy(n. 民主，民主主义；民主政治)
dendr,词根：树,dendrology(n. 树木学)
dens,n. 兽窝，兽穴（den的复数）；牙齿【词根】浓密,dense(a.密集的；浓厚的)
dent,/ dent/n. 凹痕；削弱；减少；齿【词根】牙齿,dentist(n.牙科医生)
dento,词根：tooth牙齿；tooth树,dentoid(adj. 齿状的)
dep,"词根：深,倒，筛，滴",depth(n. [海洋] 深度；深奥)
der,【词根】给予,render(vt.表示，给予；使得)
derm,n. 真皮；皮肤【词根】皮肤,hypodermic(adj. 皮下的)
derma,n.真皮【词根】皮肤,dermatitis(n.皮炎（dermat+it is炎症))
dermat,【词根】皮肤,dermatitis(n.皮炎（dermat+it is炎症))
des,【前缀】脱，去，除，离，解除,dessert(n.甜点心)
deterior,词根：worse（更坏）,deteriorate(vi. 恶化，变坏)
deuter,词根：第二,deuteragonist（n. 当配角的人；（古希腊戏剧的）第二演员）
dex,词根：手指；说；教，信仰,index（vt. 指出；编入索引中)
dext,词根：右边，熟练,dexterity(n. 灵巧；敏捷；机敏)
dexter,adj. 右侧的；幸运的【词根】右边的；熟练的,dexterous(adj. 灵巧的；敏捷的；惯用右手的)
dextr,【词根】右边的；右手；熟练的,dextrose(n. [生化] 右旋糖，[有化] 葡萄糖)
dextro,词根：熟练的,dextrose(n. [生化] 右旋糖，[有化] 葡萄糖)
dg,【词根】指出,judge(n.法官；裁判员)
di,【词根】日【前缀】二,dial(n.钟面；拨号盘)
dia,【前缀】在两者之间,dialog(n.对话，对白)
diabol,词根：魔鬼,diabolic(adj. 残忍的；魔鬼似的；恶魔的)
dibil,词根：weak  (衰弱),debilitate(vt. 使衰弱；使虚弱)
dic,【词根】宣称；说,dictation(n. 听写；口述；命令)
dict,【词根】说,predict(v.预言，预告，预测)
didact,/ di'dAkt/ n. 说教者【词根】teach（教）,didactic(adj. 说教的；教诲的)
die,vi. 死亡 【词根】日，发光,diet(n. 饮食；食物；规定饮食)
dif,"【前缀】表示""不，否定，分开""",different(a.差异的；各种的)
dig,"/ dig/ vt. 挖, 翻土, 发掘【词根】需要need,lack",indigent(adj. 贫困的；贫穷的（副词indigently）)
digit,"n. 数字,位数,指头【词根】finger（手指）",digitate ( adj. [植] 指状的；有指的)
dign,【词根】价值；有价值的,"dignity(a.	尊贵；(举止)庄严)"
dil,【前缀】表示否定、相反或相对；表示分离,dilate（vi. 扩大；膨胀；详述）
dipl,"词根：double双,复,两",diplegia(n. 双侧瘫痪，两侧麻痹)
diplo,词根：两倍,diploid(adj. 双倍的；倍数的；双重的)
dips,词根：口渴,dipso(n. 酒鬼；酗酒狂)
dis,【前缀】表示“分开； 分离； 否定； 不”之义,dismiss(vt. 解散；解雇；开除)
dit,/ dit/ n. (摩尔斯讯号的)点【词根】给；说,dictionary(n. 字典；词典)
div,词根：神；深,divinity（n. 神；神性；神学）
divid,词根：分割,subdivide(vi. 细分，再分)
divin,词根：神,divine(adj. 神圣的；非凡的；天赐的)
divis,【词根】分割,divisive（adj. 分裂的；区分的；造成不和的）
do,"/ du:, du/  aux.v.vt.做,干,办【前缀】二；双",dozen(n. 十二个，一打)
doc,【词根】教导,document(n.文件；证书（docu[=doc教]+ment→用来教的东西→文件）)
doct,【词根】教,doctor(n 博士，医生（doct教+or→教的人→有学问的人→博士）)
dodeca,【前缀】十二,dodecagon（n. [数] 十二边形；十二角形）
dog,/ dRg/n. 狗；vt. 跟踪【词根】teach教,dogmatic(adj. 教条的；武断的)
dogm,词根：opinion（观点）,dogmatic(adj. 教条的；武断的)
dogma,/ 'dRgmE/ n. 教条【词根】教条的,dogmatic(adj. 教条的；武断的)
dol,"【医】 痛单位【词根】分发；悲伤,觉得痛",dole(vt. 发放救济；以小份发给)
dole,/ dEul/n. 施舍; 少量的施舍物【词根】悲伤,doleful(a.悲伤的（dole+ful充满…的）)
dom,【词根】家；房子；驯服；驯服【后缀】表示抽象名词,kingdom(n.王国；领域，界)
domin,"词根：统治,控制",dominate(vt. 控制；支配；占优势)
domit,词根：tame（驯服）,indomitable(adj. 不屈不挠的；不服输的；不气馁的)
don,"/ dCn/vt. 穿上, 披上;n. 大学教师【词根】给予",donor(n. 捐赠者；供者；赠送人)
dont,词根：牙齿,periodontal(adj. 齿根膜的，牙周的)
dorm,/ dR:m/  n.宿舍【词根】睡觉,dormant(adj. 休眠的；静止的；睡眠状态的；隐匿的)
dors,词根：back（背）,dorsal（adj. 背部的；背的，背侧的）
dos,abbr. 磁盘操作系统【词根】给,dose(vt. 给药；给…服药)
dot,/ dRt/n.小点，圆点 vt.点缀【词根】给予,dotal(adj. 嫁妆的)
dou,词根:二；双,double(n. 两倍；双精度型)
doub,词根:二；双,double(n. 两倍；双精度型)
dow,【词根】给予,endow(vt.资助；赋予，授予)
dox,【词根】意见,heterodox(adj. 异端的；非正统的)
dr,准词根：坠落；拉扯，拽,draw(vi. 拉；拖)
dra,"词根：抽,拉引,拖",draw(vi. 拉；拖)
draft,"/ dra:ft/vt.起草, 为...打样, 设计【词根】pull拉",overdraft(n. [金融] 透支；[金融] 透支额)
draw,"/ drR:/  画【词根】拉,抽,拖",withdraw(vt.收回；撤回)
dress,/ dres/n. 连衣裙；女装【词根】针对；纠正；穿,underdress(n. 内衣；内裙；裙子)
drif,词根：驱，赶，推动,drift(vi. 漂流，漂移；漂泊)
driv,词根：驱，赶，推动,driver(n. 驾驶员；驱动程序；起子；传动器)
drom,【词根】跑；走,dromometer(n.速度计（drom+o+meter测量计）)
drome,n.飞机场【词根】跑；走,dromometer(n.速度计（drom+o+meter测量计）)
du,"【计】 定义使用【词根】负债【前缀】二,双","duplicate(n.	复制品)"
dub,"/ dQb/n. 笨蛋； v.给…起绰号。词根：表示""二，双""",dubious(a.半信半疑的（dub+ious_二种状态→不肯定，怀疑的）)
dubi,【医】 雅司病【词根】doubtful  (怀疑）,dubious（adj. 可疑的；暧昧的；无把握的）
duc,【词根】引导,education(n.教育；训导；教育学)
duce,n.  元首; 领袖【词根】引导,adduce(vt. 举出；引证(（ad+duce引导→一再引导→举例说明）)
duct,n. 输送管，导管【词根】引导,conduct(vt. 管理；引导；表现)
duit,【词根】引导,conduit(n. [电] 导管；沟渠；导水管)
dulc,词根：甜,dulcet(adj. 美妙的；悦耳的；怡人的)
dulg,词根：让步yield,indulgent(adj. 放纵的；宽容的；任性的)
dum,词根：沉重的咚咚声,dummy(n. 傀儡；哑巴；仿制品)
duo,"/ 'dju:Eu/ n. 二重唱【前缀】二,双",duodenum(n.十二指肠)
dupl,词根：二,duplex(adj. 二倍的，双重的)
dur,【词根】坚硬的；持久的,durable(a.耐久的，耐用的)
dura,【词根】坚硬的；持久的,durable(a.耐久的，耐用的)
dut,词根：职责；学习；税,duteous(adj. 顺从的；尽职的)
dy,"前缀：二, 两次, 两倍",dyon(n. [高能] 双荷子)
dyn,【词根】力量,dynast(n. 元首；统治者；王朝的君主)
dynam,【词根】力量,dynamic(adj. 动态的；动力的；动力学的)
dys,"【医】 不良, 困难, 障碍【前缀】不好的",dyslexia(n.阅读障碍（dys不良+lex+ia病→对词汇不良的病→阅读障碍）)
e,"【前缀】出,除去；超出【后缀】名词结尾e,无实意",eject(v.喷出；驱逐（e出+ject→扔出→喷出）)
eal,后缀：形容词后缀，表示“似…的”,funereal（adj. 悲哀的；送葬的；适合葬礼的）
ean,后缀：形容词后缀，表示“如…的”,gigantean（adj.巨大的，庞大的）
eas,"词根：comfort舒适,容易",easy(adj. 容易的；舒适的)
ebri,词根：drunken（醉）,inebriate（adj. 酒醉的；醉醺醺的）
ec,"【前缀】出,除去；超出","eclipse(n.	(日，月)食)"
eccles,词根：教会,ecclesial(adj. 教会（机构）的)
ech,词根：声音,echo(n. 回音；效仿)
eco,【词根】家,economical(a.节约的；经济学的)
econom,【词根】经济,economics(n.经济学（economy经济+ics学科）)
ecto,【前缀】外面；…外,ectoderm(n. 外胚层，外细胞层)
ed,埃德（男名）【词根】吃【后缀】形容词后缀,"edible(n.  食品, 食物)"
ee,【后缀】表示“人”,committee(n.委员会；全体委员)
eem,词根：拿，获得,redeem(vt. 赎回；挽回；兑换；履行；补偿（red=re回+eem=em→拿回→赎回）)
een,后缀：构成名词，表示“可爱的人(或物)、小的人(或物)”,colleen（n. 姑娘；（爱尔兰）少女）
eer,adv.无论何时，曾经【后缀】表示“人”,engineer(n. 工程师；工兵；火车司机)
ef,【前缀】表示“由…出来，自”之义,effluence(n. 流出；流出物；发射物)
efy,后缀：等于fy，表示“…化”,liquefy（vt. 液化；溶解）
eg,词根：我，拥有，该，欠,ego（n. 自我；自负；自我意识）
ego,/ 5egEu/n.自我【词根】我；自己,egoist(n. 自我主义者；利己主义者)
egot,词根：自己,egotist(n. 自高自大者)
egyr,词根：一起带来,panegyric(n. 颂词，赞颂)
eig,词根：我，拥有，该，欠,eigen（adj. [物] 本征的；固有的）
el,【前缀】进入某种状态，使成为【后缀】表小称或缩小,parcel(n.包裹，小包，邮包)
elast,【词根】驱动，驱使；拉动,elastic(a.有弹性的；灵活的)
electr,【词根】电的,electronics(n.电子学)
electro,"vt. 电镀【词根】电,电的",electrocute（vt. （美）以电椅处死；使触电致死）
eleg,词根：lament  (悲伤）,elegy（n. 挽歌，哀歌）
ella,【后缀】表小称或“缩小”,umbrella(n.伞，雨伞)
em,【词根】拿；买【前缀】进入某种状态，使成为…,enamor(vt. 使迷恋，使倾心)
emet,词根：呕吐,emetic（adj. 催吐的）
emia,【后缀】表示“血液”,anemia(n. 贫血；贫血症)
emper,词根：表示“命令，统治”,emperor(n.  皇帝; 君主)
empt,【词根】拿；买,exempt(vt. 免除；豁免(（ex出+empt拿→拿出→豁免）)
emul,词根：equal  (平等）,emulate（vt. 仿真；模仿；尽力赶上）
en," n. 半方,字母N【前缀】进入【后缀】起功能转换作用",encage(vt. 关在笼中；禁闭)
ence,【后缀】用于形容词后构成名词，通常是代替-ent,existence(n. 存在，实在；生存，生活；存在物，实在物)
ency,"【后缀】表示抽象名词,表示性质，状态，情况等",proficiency(n.熟练，精通)
end,/ end/  n. 结束；穷尽；到……的尽头。词根：内部,endocardial(adj. 心内膜的；心脏内的)
endo,【前缀】在里面的,endocardial(adj. 心内膜的；心脏内的)
ene,后缀：名词后缀，表示“烯”类,polyethylene（n. [高分子] 聚乙烯)
enigm,词根：迷惑,enigma（n. 谜，不可思议的东西）
enn,【词根】年,perennial(adj. 多年生的；常年的；四季不断的)
enne,后缀：表名词，“女性”,comedienne(n.  女喜剧演员)
ennea,【前缀】九,enneasyllable(九音节)
ent,【后缀】表性质、大小状况、状貌,dependent(adj. 依靠的；从属的（de+pend悬挂+ent))
enter,"/ 5entE/vt.进入, 加入, 参加【前缀】在中间,肠道",entertain(vt. 娱乐；招待；怀抱(（enter在中间+tain→在[工作]中间拿)
ento,【前缀】在内,entotic（adj.耳中的）
entom,词根：insect（昆虫）,entomology（n. 昆虫学）
entomo,词根：虫,entomology(n. 昆虫学)
eo,【前缀】黎明；开始,eobiont(n.原生物（生命起源中的一个假想阶段）)
eous,后缀：表形容词，“有…的”,aqueous(adj.  水成的; 水的)
ep,【前缀】在…上面；在…外面,epoch(n.新纪元；新时代；时间上的一点)
epi,【前缀】在…上面；在…外面,epicenter(n. 震中；中心)
ept,dj.聪明能干的【后缀】表示“适应，能力”,"adept(adj.  熟练的, 内行的; 拿手的)"
equ,【词根】相等的,equation(n.方程(式)；等式)
equi,【词根】相等的,equivalent(a.相等的；等量的)
er,【后缀】名词后缀;动词后缀;形容词及副词后缀,player(n.游戏的人；比赛者)
erc,词根：力量,exercise（n. 运动；练习；运用（ex出+erc力量+ise)）
ere,后缀:指地方  ,here(adv. 在这里；此时)
erebr,词根：brain（脑）,cerebrum (   n  大脑)
erel,后缀：名词后缀，表示“小称”,cockerel(n. （未满一年的）小公鸡；好斗的年轻人)
erem,词根：孤独的,eremite（n. 隐士；遁世修行的人）
erg,n. 尔格【计】 尔格【化】 尔格【词根】工作；功,energy(n.能量；精力；活力；精神)
erly,"后缀：形容词、副词后缀，表示“向…""",easterly(adj. 在东方的；向东的)
ern,【后缀】表示方向;表示场所、地点,western(adj. 西方的，西部的；有西方特征的)
ero,词根：爱、性,erotic（adj. 色情的；性爱的；性欲的）
err,/ E:/  vi.犯错，做错【词根】流浪；犯错,error(n.错误，谬误；差错)
ert,【词根】直；动,alert（n. 警戒，警惕；警报） 
ery,"【后缀】名词后缀,表示地点、状态等",printery（n. 印刷工厂）
es,【前缀】出自；超出;=ex【后缀】构成复数,escape（vt. 逃避，避免；被忘掉）
esc,"词根：形成becoming,growing",fluorescent(adj. 荧光的；萤光的；发亮的)
escal,词根：ladder（梯子）,escalate （vi. 逐步增强；逐步升高）
esce,【后缀】动词后缀，表示“开始发生”，“开始成为”,evanesce（vi. 消散；逐渐看不见）
escence,后缀:用以构成名词，相当于形容词后缀-escent ,coalescence(n. 合并；联合；接合)
escency,后缀：表示“开始、正在、逐渐形成某种状态”,quiescency（n. 静止）
escent,后缀：表示“开始、正在、逐渐形成某种状态”,luminescent（adj. 发冷光的，冷光的）
ese,【后缀】形容词兼名词后缀，表示某国的、某地的,Chinese（adj. 中国的，中国人的；中国话的）
esia,后缀：表示“疾病名称”,amnesia（n. 健忘症，[内科] 记忆缺失）
esis,后缀：表示“疾病名称及医学名词”等,emesis（n. [临床] 呕吐）
eso,【前缀】内；在…里面,esoteric（adj. 秘传的；限于圈内人的；难懂的）
esoter,词根：inner（内在）,esoteric（adj. 秘传的；限于圈内人的；难懂的）
esque,【后缀】形容词后缀，表性质、大小状况、状貌,gigantesque（adj. 巨大的；巨人的）
ess,/ es/ n. 字母S【词根】存在【后缀】表示“人”,actress（n. 女演员）
est,【词根】存在【后缀】用以构成形容词或副词的最高级,latest（adj. 最新的，最近的；最迟的）
esthes,词根：感觉，审美,anesthesia（n. 麻醉；麻木（等于anaesthesia））
esthet,【词根】感觉,aesthetic（adj. 美的；美学的；审美的，具有审美趣味的）
esti,词根：价值,estimate(vi. 估计，估价)
estim,词根：value（价值）,estimate（vi. 估计，估价）
estiv,【词根】夏天,estivate(vi. 度夏；夏眠)
et,【后缀】表小称或“缩小”,packet(n.小包(裹)，小捆)
ete,"【后缀】用以构成名词,表示“做…者”，“…的人”",aesthete(n. 唯美主义者；审美家)
eth,后缀：构成序数词；十分之一,fiftieth（num. 第五十；五十分之一）
ethn,【词根】种族 ,ethnocentrism(n. 民族优越感)
ethno,词根：人种,ethnology(n. 人种学；人类文化学)
etho,"【词根】风俗,伦理",ethos(n. 民族精神；气质；社会思潮)
etic,后缀：表形容词，“属于…的”,genetic(adj.  遗传的; 起源的)
etr,【词根】进入,penetrate(vt.渗透；穿透；洞察(pen全部，etr进入))
etta,后缀：名词后缀，表示“小称”,operetta（n. 轻歌剧；小歌剧）
ette,"【后缀】名词后缀,表小、女性等",roomette(n. 小房间)
ety,【后缀】构成抽象名词，表示性质、状态、情况,gayety(n. 愉快；轻快)
etym,词根：真正的,etymon（n. 词源；字的原形）
etymo,词根：true（真的）,etymology （n. 语源，[语] 语源学）
eu,【前缀】表示“真正”，“良好”，“容易”,eugenics(n.优生学（eu好+gen+ics→产生好的→优生学）)
eur,【后缀】表示“人”,amateur(n. 爱好者；业余爱好者)
ev,【电】 电子伏特【词根】年龄；时代【前缀】良好,medieval(a.中世纪的（medi中间+eval→中间时代的→中世纪的）)
ex,"n. 前妻或前夫【前缀】外部,向外；前任,旧",exit（n. 出口，通道；退场）
exo,"前缀：表示""外部的，外面""",exosphere（n. [地物] 外逸层；外大气层）
exter,【前缀】…外,exterior(a.外部的；对外的)
extern,"/ eks'tE:n/ n. 走读生, 走读医学实习生【前缀】…外",external(a.外部的，外面的)
extr,【前缀】在…之外；超出；与intra相反,extremely(ad.极端，极其，非常)
extra,"/ 5ekstrE/  adj.额外的【前缀】超越,额外",extraordinary(a.非同寻常的，特别的)
extro,前缀：以外的，超过的,extrovert(n. 外向；外倾者)
fa,【词根】说,fable（n. 寓言；无稽之谈）
fab,【词根】说,fable（n. 寓言；无稽之谈）
fabl,【词根】说,fable（n. 寓言；无稽之谈）
fabr,【词根】做,fabricate（vt. 制造；伪造；装配）
fabul,【词根】说,fabulist（n. 寓言家；说谎者）
fac,【词根】脸；额头；前部；做,fact（n. 事实；实际；真相）
fact,/ fAkt/n. 事实；实际；真相【词根】制造；做,artifact（n. 人工制品；手工艺品）
faction,后缀：表示“形成”，“…化”,liquefaction（n. 液化；熔解）
fain,"adj.  乐意的【词根】形状, 构造, 样式",faint(adj. 模糊的；头晕的；虚弱的)
faith,"/ feiW/  n.信任，信念；忠实【词根】信任,信心",faithless(adj. 不忠实的；无信的；无宗教信仰的)
fal,词根：欺骗，错,false(adj. 错误的；虚伪的；伪造的)
fall,"/ fR:l/n.秋天, 落下, 瀑布, 降低, 落差【词根】欺骗",fallacy（n. 谬论，谬误）
fals,【词根】欺骗；假,falsify（vt. 伪造；篡改；歪曲；证明...虚假）
fam,【词根】说；名字,fame（n. 名声，名望；传闻，传说）
fan,/ fAn/n. 迷；风扇；爱好者【词根】出现；显现,fantasy（n. 幻想；白日梦；幻觉）
fant,【词根】出现；显现,fantasy（n. 幻想；白日梦；幻觉）
far,/ fa:/a.& ad.遥远。词根：前，早，通过;运，带，走,farewell(n. 告别，辞别；再见；再会)
fare,"/ fZE/n.费用, 旅客, 食物【词根】去,走",welfare(n.幸福，福利)
fas,词根：做，制作,fashion(n. 时尚；时装；样式；时髦人物)
fascin,词根：enchant（迷住）,fascinate（vt. 使着迷，使神魂颠倒）
fast,adj.  快的【词根】紧的 ,fasten(vt. 使固定；集中于；扎牢；强加于)
fat,/ fAt/adj. 肥的，胖的；油腻的。词根：肥；声音，说,fate(n. 命运)
fath,词根：低，底，深,fathom（vt. 看穿；彻底了解；测量…的深度）
fatig,词根：weary（疲倦）,indefatigable（adj. 不知疲倦的；不屈不挠的；有耐性的）
fatu,词根：silly（笨）,fatuous（adj. 愚笨的；昏庸的；发呆的；自满的）
faul,词根：欺骗，错,fault(n. 故障；[地质] 断层；错误；缺点；毛病)
fav,词根：庇护；善意,favor(vt. 赞成；喜欢；像；赐予；证实)
fe,"词根：不（“非”）,钱",female(n.女人; 雌性植物; 雌性动物)
fea,词根：做，制作,feasible(adj. 可行的；可能的；可实行的（feas做+ible→能够做的→可行的）)
feas,词根：做，神,feast(vt. 享受；款待，宴请)
feat,n.功绩，伟业【词根】做,defeat(vt.战胜，击败；挫败)
feath,词根：追求，冲，飞,feather(n. 羽毛)
febr,词根：fever（烧）,febrile （adj. 发热的；[医] 热病的；发烧的）
febri,词根：热,febrific(adj. 发烧的；生热的)
fec,【词根】做,defecate(vt. 澄清；除去污物)
fect,【词根】制造；做,perfectly(ad.很，完全)
fecund,adj. 肥沃的；多产的；丰饶的【词根】fruit（果实）,fecundity （n. [生物] 繁殖力；多产；肥沃）
fed,词根：信任,federal(adj. 联邦的；同盟的)
feder,词根：联盟,federal(adj. 联邦的；同盟的)
feit,词根：做,counterfeit(vt. 伪造，仿造；假装，伪装)
fel,词根：猫,felid（n. 猫科的动物）
felic,词根：happy（幸福）,felicity （n. 幸福；快乐；幸运）
fem,词根：生育，养育,female（adj. 女性的；雌性的；柔弱的）
femin,词根：女性,feminine(adj. 女性的；妇女（似）的；阴性的)
femto,词根：千万亿分之一,femtosecond(n. 飞秒)
fen,n.  沼泽; 沼池【词根】栏杆,fend(vt. 谋生；保护；挡开)
fenc,词根：击，杀,defense(n. 防卫，防护；防御措施；防守)
fend,"/ fend/vt.保护, 谋生, 供养, 挡开【词根】打击",offend(vt.vt. 冒犯；使…不愉快)
fens,【词根】打击,offense(n. 犯罪，过错；进攻；触怒)
fer,【词根】运送；携带；忍受；结果实；给；煮,ferry(n. 渡船；摆渡；渡口)
ferr,词根：铁,ferri(n. 铁（26号元素）)
ferro,【计】 铁共振【词根】iron铁,ferrous(adj. [化学] 亚铁的；铁的，含铁的)
fert,"【词根】带来，拿来,给",fertile(a.肥沃的；多产的（fert带来+ile的）)
ferv,【词根】沸腾,fervid（adj. 热的；热心的)
fes,词根：做，神;节日,festival(n. 节日；庆祝，纪念活动；欢乐)
fess,v.坦白，供认【词根】说,profess(vt. 自称；公开表示；宣称信奉)
fest,【词根】节日；打击,festival(n. 节日；庆祝，纪念活动；欢乐)
fet,词根：生产productive,effete(adj. 衰老的；疲惫的；（土地）贫瘠的；（动植物）不育的)
fev,词根：热,fever(n. 发烧，发热；狂热)
fi,"词根：相信,信任",fiducial(adj. [测] 基准的；信托的；根据信仰的)
fian,词根：最后的，最终的,affiance（n. 婚约；信托）
fibr,词根：纤维,fibroma(n. 纤维瘤)
fic,【词根】做【后缀】表示“形成…的”，“产生…的”,fiction(n.小说；虚构，杜撰)
fication,后缀：表示“形成”，“…化”,beautification（n. 美化；[建] 装饰）
fice,【词根】制造；做,office(n. 办公室；政府机关；官职；营业处)
fict,【词根】假装,fiction(n.小说；虚构，杜撰)
fid,"n. 硬木钉, 桅栓【词根】信任",confident(adj. 自信的；确信的（con全部+fid相信+ent）)
fide,词根：信任,confident(adj. 自信的；确信的（con全部+fid相信+ent）)
fied,后缀:表示“使”，“使成为”，“使化成”等,diversified（adj. 多样化的；各种的）
fier,后缀：表名词，“人和物”，由-ify转化而来,"pacifier(n.  慰抚者, 镇静剂, 调解人)"
fig,/ fig/  n.无花果【词根】形状,"effigy(n.肖像, 雕像)"
figur,【词根】形状；形态,figure(n.数字；外形；人物)
fil,【词根】线；纺织,"filament(n.细丝, 细线, 灯丝, 单纤维)"
fila,n.  丝; 丝状部份【词根】线；纺织,"filament(n.细丝, 细线, 灯丝, 单纤维)"
fili,【词根】线；纺织;儿子,filigree(n. 金银丝细工；金银丝工艺品)
filt,【词根】过滤,filter(vt. 过滤；渗透；用过滤法除去)
fin,"/ fin/n.鳍, 鱼翅【词根】结束",final(adj. 最终的；决定性的；不可更改的)
fing,词根：五,finger(n. 手指；指针，指状物)
finit,词根：终，极,infinitive(n. 不定式)
fir,"/ fE:/n.冷杉, 枞树, 杉木。【词根】火；前，早，通过",fire(n. 火；火灾；炮火；炉火)
firm,/ fE:m/  n.公司【词根】坚固的,confirm(vt.证实，肯定；批准(con全部+firm→全部坚定→确实))
fisc,/ fisk/n. 古罗马国库【词根】pruse（钱包）,fiscal （adj. 会计的，财政的；国库的）
fiss,词根：裂,fissiparity(n. 分裂裂殖（等于fissiparism）)
fit,vi. 符合，配合【词根】适当；做,benefit(n.利益；恩惠；津贴（bene好+fit做→做事后的好处→利益）)
fiv,词根：五,five(n. 五，五个)
fix,"/ fiks/n.困境, 方位, 贿赂【词根】固定",fixture(n.n. 设备；固定装置；固定于某处不大可能移动之物)
fl,准词根：弯曲；飞，流,flit（vi. 掠过；轻快地飞；移居）
flag,"/ flAg/  n.旗子【词根】burn,flame燃烧,火焰",flagrancy(n. 极恶昭彰；明目张胆)
flagell,词根：whip（鞭子）,flagellate（adj. 鞭状的；[生物] 有鞭毛的）
flagr,【词根】火焰；燃烧,conflagration（n. 大火；快速燃烧；突发；冲突）
flam,"/ flAm/ n. 谎, 假话vt. 欺瞒【词根】火焰；燃烧",flame(n.火焰；光辉；热情)
flat,"/ flAt/adj.平坦的, 扁平的, 单调的【词根】吹气",inflate（vi. 膨胀；充气（in进+flat+e→吹气进去））
flau,词根：吹,flaunt(vt. 炫耀；飘扬)
flav,词根：流，溶，熔,flavor（n. 情味，风味；香料）
flec,词根：反转,inflect（vt. 弯曲；改变；使屈曲）
flect,【词根】弯曲,deflection(n.偏斜，歪斜；偏差)
flex,vt. 折曲；使收缩【词根】弯曲,flexible(a.易弯曲的；灵活的)
flict,【词根】打,conflict(n.争论；冲突；斗争)
flig,词根：打出，推进,profligate（adj. 放荡的，不检点的；恣意挥霍的（pro+flig打出+ate→把钱不断的打出去→挥霍））
flor,【词根】花,floral（adj. 花的；植物的，植物群的；花似的）
flot,词根：漂浮,flotsam（n. 废料；（遇难船的）漂流货物；浮货；零碎物）
flour,/ 5flauE/  n.面粉，粉；粉状物质【词根】花,flourish(vi.繁荣，茂盛，兴旺（flour[=flor]+ish→花一样开放→繁荣）)
flu,/ flu:/  流感【词根】流,fluent（adj. 流畅的，流利的；液态的；畅流的）
fluc,词根：流,fluctuate(vi. 波动；涨落；动摇)
fluct,词根：流动,fluctuate（vi. 波动；涨落；动摇）
fluctu,词根：wave（波浪）,fluctuate（vi. 波动；涨落；动摇）
fluv,词根：流,effluvium(n. 恶臭；臭气)
flux,n.  流出【词根】流,reflux（n. 逆流；退潮）
foc,词根：焦点,focus(n. 焦点；中心；清晰；焦距)
fold,"/ fEuld/n.折, 羊栏, 折痕【后缀】形容词及副词后缀",twofold（adj. 双重的；两倍的）
foli,【词根】叶子,defoliate（vi. 落叶）
foll,词根：风囊,follicle(n. 卵泡；滤泡；小囊)
fon,词根：喜爱,fond(adj. 喜欢的；温柔的；宠爱的)
for,"/ fR:, fE/  为；给【词根】前，早，通过",forecast（vt. 预报，预测；预示）
forc,【词根】城，高，强，力量,reinforce（vt. 加强，加固；强化（re 再次＋in＋force→再次增加力量））
force,/ fR:s/  n.（常pl.）军队【词根】强壮的,reinforce（vt. 加强，加固；强化（re 再次＋in＋force→再次增加力量））
fore,"/ fC:; fCE/n.前部, 船头【前缀】在前面；前面",foresee(vt.预见，预知，看穿)
forg,词根：造,forge(vi. 伪造；做锻工；前进)
form,"/ fR:m/n.形状, 形态, 外形, 表格【词根】形状；形式",format（n. 格式；版式；开本）
fort,"n.要塞，堡垒【词根】强壮的,运气【前缀】十四","fortune(n.  财富, 兴隆, 运气)"
fortu,词根：运气,fortune(n.运气，财富（fort+une）)
fortun,【词根】可能性；机会,fortunate（adj. 幸运的；侥幸的；吉祥的；带来幸运的）
fost,词根：养育，喂食,foster（vt. 培养；养育，抚育）
found,"v.建立, 创立, 创办【词根】基础；底部；注入；倒入",foundation(n.基础；地基；基金)
fra,词根：打破,fractus(adj. 碎云的)
